"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"test.NetworkDBempty.request0","avgt",1,30,"9,932964","0,497240","ms/op"
"test.NetworkDBempty.request10","avgt",1,30,"31,009492","0,780228","ms/op"
"test.NetworkDBempty.request100","avgt",1,30,"95,766681","1,948300","ms/op"
"test.NetworkDBempty.request20","avgt",1,30,"42,723413","1,108379","ms/op"
"test.NetworkDBempty.request30","avgt",1,30,"51,631128","1,051329","ms/op"
"test.NetworkDBempty.request40","avgt",1,30,"60,301073","1,331863","ms/op"
"test.NetworkDBempty.request50","avgt",1,30,"67,332061","1,992971","ms/op"
"test.NetworkDBempty.request60","avgt",1,30,"73,828730","1,140197","ms/op"
"test.NetworkDBempty.request70","avgt",1,30,"79,828950","1,437643","ms/op"
"test.NetworkDBempty.request80","avgt",1,30,"85,379194","1,809145","ms/op"
"test.NetworkDBempty.request90","avgt",1,30,"89,612795","2,129261","ms/op"
